tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
1,181,547,663,0.22,0.028,0.004,0.78,2.816,1.219,5.776
2,77,547,779,0.203,0.027,0.007,0.524,2.596,0.847,5.736
1,182,550,666,0.22,0.031,0.007,0.788,3.068,1.183,5.824
1,183,553,669,0.219,0.031,0.003,0.792,2.963,1.155,5.804
2,78,554,786,0.208,0.032,0.008,0.536,2.619,0.936,5.679
1,184,556,672,0.223,0.031,0.007,0.795,3.051,1.256,5.955
3,36,556,1020,0.211,0.036,0.008,0.32,2.223,0.635,5.464
1,185,559,675,0.223,0.031,0.007,0.812,3.084,1.196,5.995
4,17,559,1487,0.211,0.036,0.011,0.179,1.919,0.5,5.491
2,79,561,793,0.207,0.028,0.008,0.548,2.688,0.903,5.692
1,186,562,678,0.224,0.036,0.008,0.831,3.056,1.215,6.08
1,187,565,681,0.231,0.036,0.007,0.868,3.063,1.272,5.971
1,188,568,684,0.232,0.04,0.008,0.884,3.144,1.263,6.292
2,80,568,800,0.211,0.032,0.008,0.567,2.811,0.939,5.784
5,8,568,2424,0.223,0.044,0.019,0.095,1.648,0.395,4.947
1,189,571,687,0.227,0.031,0.004,0.864,3.219,1.343,7.723
3,37,571,1035,0.211,0.032,0.008,0.339,2.304,0.643,5.864
1,190,574,690,0.22,0.031,0.003,0.859,3.175,1.204,6.272
2,81,575,807,0.207,0.031,0.007,0.591,2.903,1.039,5.851
1,191,577,693,0.223,0.031,0.007,0.867,3.2,1.268,6.211
1,192,580,696,0.228,0.031,0.007,0.876,3.236,1.26,6.344
2,82,582,814,0.216,0.035,0.008,0.612,2.82,0.976,6.036
1,193,583,699,0.228,0.036,0.003,0.879,3.375,1.343,6.383
1,194,586,702,0.231,0.039,0.015,0.896,3.3,1.312,6.451
3,38,586,1050,0.207,0.028,0.008,0.352,2.416,0.672,6.291
1,195,589,705,0.224,0.032,0.008,0.956,3.304,1.303,6.84
2,83,589,821,0.211,0.031,0.007,0.627,2.943,1.316,6.188
4,18,590,1518,0.215,0.036,0.011,0.2,2.096,0.584,5.903
1,196,592,708,0.227,0.031,0.007,0.943,3.352,1.384,6.644
1,197,595,711,0.228,0.031,0.007,0.94,3.5,1.347,6.751
2,84,596,828,0.211,0.031,0.007,0.692,2.983,1.,6.323
1,198,598,714,0.228,0.031,0.007,0.931,3.427,1.448,6.808
1,199,601,717,0.228,0.036,0.008,0.94,3.447,1.295,6.908
3,39,601,1065,0.216,0.036,0.008,0.371,2.847,0.72,6.447
2,85,603,835,0.211,0.028,0.008,0.683,3.039,0.988,6.54
1,200,604,720,0.223,0.031,0.003,0.943,3.472,1.412,6.863
1,201,607,723,0.228,0.031,0.007,0.952,3.62,1.427,6.968
1,202,610,726,0.232,0.031,0.008,0.963,3.536,1.387,6.987
2,86,610,842,0.212,0.036,0.008,0.696,3.211,1.015,6.447
1,203,613,729,0.231,0.031,0.007,1.012,3.543,1.432,7.056
1,204,616,732,0.228,0.031,0.007,1.043,3.624,1.468,7.179
3,40,616,1080,0.211,0.032,0.008,0.387,2.679,0.884,6.847
2,87,617,849,0.211,0.031,0.004,0.715,3.224,1.004,6.639
1,205,619,735,0.228,0.036,0.008,1.007,3.707,1.427,7.227
4,19,621,1549,0.216,0.039,0.011,0.231,2.244,0.615,6.516
1,206,622,738,0.235,0.036,0.003,1.007,3.671,1.484,7.24
2,88,624,856,0.212,0.032,0.008,0.7,3.219,1.011,6.928
1,207,625,741,0.235,0.036,0.004,1.016,3.676,1.551,7.492
1,208,628,744,0.235,0.04,0.007,1.019,3.775,1.436,7.432
