n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3445,5.028,4.635,4.592,3.223,9.384,0.167,0.302,0.314,,
3447,4.996,4.608,4.56,3.259,8.316,0.172,0.286,0.246,,
3449,5.,4.607,4.559,3.231,9.427,0.168,0.297,0.306,,
3451,5.036,4.639,4.592,3.288,8.315,0.171,0.235,0.297,,
3453,5.024,4.628,4.576,3.288,8.744,0.172,0.296,0.223,,
3455,5.048,4.648,4.599,3.271,8.6,0.167,0.22,0.222,,
3457,5.168,4.768,4.719,3.263,8.511,0.172,0.295,0.238,,
3459,5.079,4.692,4.644,3.248,9.384,0.171,0.278,0.303,,
3461,5.132,4.731,4.679,3.288,8.371,0.168,0.294,0.233,,
3463,5.096,4.692,4.643,3.259,9.404,0.172,0.352,0.231,,
3465,5.059,4.664,4.615,3.264,8.536,0.171,0.297,0.281,,
3467,5.127,4.723,4.675,3.311,9.492,0.172,0.304,0.234,,
3469,5.099,4.708,4.656,3.312,8.408,0.171,0.362,0.331,,
3471,5.092,4.7,4.655,3.299,8.779,0.172,0.295,0.299,,
3473,5.216,4.819,4.771,3.315,8.652,0.171,0.305,0.245,,
3475,5.188,4.78,4.728,3.32,8.743,0.176,0.296,0.241,,
3477,5.148,4.751,4.703,3.327,8.731,0.167,0.306,0.284,,
3479,5.112,4.728,4.679,3.327,8.807,0.171,0.299,0.234,,
3481,5.119,4.72,4.672,3.323,8.684,0.179,0.295,0.24,,
3483,5.123,4.731,4.683,3.307,8.779,0.176,0.295,0.313,,
3485,5.096,4.715,4.672,3.324,8.724,0.171,0.232,0.286,,
3487,5.128,4.736,4.696,3.331,8.619,0.176,0.298,0.306,,
3489,5.235,4.855,4.807,3.339,9.647,0.176,0.308,0.301,,
3491,5.175,4.784,4.736,3.347,8.559,0.171,0.238,0.31,,
3493,5.184,4.78,4.735,3.351,9.531,0.176,0.236,0.253,,
