n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
578,0.443,0.243,0.216,,,
579,0.436,0.235,0.216,,,
580,0.427,0.231,0.207,,,
581,0.436,0.243,0.211,,,
582,0.479,0.228,0.2,,,
583,0.487,0.236,0.203,,,
584,0.512,0.236,0.207,,,
585,0.472,0.236,0.203,,,
586,0.447,0.231,0.199,,,
587,0.443,0.236,0.203,,,
588,0.439,0.248,0.22,,,
589,0.46,0.24,0.212,,,
590,0.444,0.231,0.199,,,
591,0.447,0.231,0.204,,,
592,0.448,0.231,0.204,,,
593,0.455,0.252,0.219,,,
594,0.456,0.256,0.219,,,
595,0.479,0.28,0.248,,,
596,0.496,0.295,0.268,,,
597,0.439,0.24,0.212,,,
598,0.455,0.252,0.223,,,
599,0.448,0.243,0.219,,,
600,0.424,0.219,0.191,,,
601,0.459,0.24,0.211,,,
602,0.463,0.263,0.235,,,
603,0.46,0.244,0.211,,,
604,0.463,0.243,0.211,,,
605,0.463,0.239,0.211,,,
606,0.46,0.256,0.224,,,
607,0.484,0.28,0.247,,,
608,0.439,0.231,0.203,,,
609,0.503,0.28,0.251,,,
610,0.508,0.271,0.243,,,
611,0.463,0.252,0.219,,,
612,0.443,0.247,0.219,,,
613,0.436,0.231,0.203,,,
614,0.423,0.224,0.195,,,
615,0.472,0.243,0.216,,,
616,0.475,0.256,0.228,,,
617,0.456,0.256,0.227,,,
618,0.435,0.231,0.204,,,
619,0.472,0.251,0.223,,,
620,0.467,0.251,0.223,,,
621,0.484,0.268,0.235,,,
622,0.455,0.247,0.223,,,
623,0.492,0.276,0.243,,,
624,0.5,0.283,0.256,,,
625,0.496,0.28,0.251,,,
626,0.451,0.239,0.215,,,
627,0.463,0.256,0.231,,,
628,0.479,0.252,0.228,,,
629,0.456,0.252,0.219,,,
630,0.436,0.231,0.204,,,
631,0.46,0.252,0.224,,,
632,0.459,0.252,0.224,,,
633,0.468,0.259,0.228,,,
634,0.468,0.271,0.243,,,
635,0.467,0.268,0.236,,,
636,0.444,0.235,0.207,,,
637,0.524,0.259,0.228,,,
638,0.524,0.316,0.283,,,
639,0.532,0.307,0.276,,,
640,0.492,0.26,0.236,,,
641,0.443,0.24,0.211,,,
642,0.484,0.268,0.235,,,
643,0.471,0.264,0.231,,,
644,0.447,0.235,0.207,,,
645,0.487,0.259,0.231,,,
646,0.444,0.239,0.207,,,
647,0.491,0.255,0.231,,,
648,0.487,0.279,0.243,,,
649,0.539,0.259,0.235,,,
650,0.528,0.319,0.288,,,
